No,Judul,Genre,Penulis,Sinopsis,Tahun Terbit,Halaman,Rating,Mood Utama,Mood Pendukung1,Mood Pendukung2,Cover
1,Malioboro at Midnight,Romance,Skysphire,"Tengah malam bagi kebanyakan orang adalah waktu terbaik untuk beristirahat dan tidur lelap. Tapi untuk Serana Nighita, itu adalah waktu untuk menangisi hidup dan meratapi hubungannya dengan sang penyanyi terkenal, Jan Ichard. Popularitas membawa lelaki itu jauh darinya, Ichard di Jakarta, meninggalkan Sera di Jogja. Bagi Sera, tengah malam selalu menakutkan. Namun, semua berubah setelah Malioboro Hartigan tidak sengaja mendobrak pintu kamarnya pada sebuah malam. Malio datang dan menawarkan pertemanan agar Sera tidak sendiri, agar Sera bisa berbagi sedihnya. Lantas bagaimana dengan hubungan Sera dan Jan Ichard yang semakin rumit? Dan benarkah tanpa sadar, Malio sudah menjadi 'Midnight' terbaik Sera?",2023,436,"4,16","Sad
",Hopeful,Heartwarming,covers/malioboro_at_midnight.jpg
2,Satine,Romance,Ika Natassa,"“I just need a proper date.” “Saya cuma butuh teman bicara.” Ada yang bilang hidup yang tertata sempurna ibarat makanan yang dikemas rapi. Semuanya tersusun pada tempatnya, cantik. Lalu, tanpa disangka terjadilah satu peristiwa, kemasan itu tersenggol, dan isinya berserakan di lantai. Hidup yang selama ini dikenal Satine runtuh saat ia menyadari dirinya tidak lebih dari sekadar perempuan kesepian. Dalam kenekatan seseorang yang selalu bisa menyelesaikan apa pun dalam hidupnya, Satine menemukan solusi yang mempertemukannya dengan lelaki asing, Ash. Hubungan yang mereka mulai dengan keterikatan kontrak di atas kertas dan harus tunduk pada aturan, ternyata tunduk pada gejolak perasaan mereka sendiri. Lalu terjadilah peristiwa demi peristiwa yang menghadirkan pertanyaan: “Jika semua hal di muka bumi ini diatur oleh takdir, apakah pertemuan dan perpisahan juga harus takluk pada takdir?”",2024,336,"3,64",Emotional,Heartwarming,Hopeful,covers/satine.jpg
3,Musim yang Tak Sempat Kita Miliki,Romance,Tsana,"Rani bekerja sebagai editor di sebuah kantor penerbitan. Dia suka dengan kehidupan dan dunia kecilnya yang tenang di pengujung usia 20-annya, meski terkadang rekan kerjanya suka mengusiknya. Suatu hari, proyek besar datang dari perusahaan parfum lokal yang berniat merilis produk baru lewat buku. Rani yang sudah lama bermimpi menerbitkan buku pertamanya, akhirnya mendapatkan kesempatan. Tetapi, proses pengerjaan naskah itu membawa Rani kembali pada seseorang dari masa lalunya. Seseorang yang menjadi alasan pertama Rani ingin menulis. Apakah Rani berhasil merampungkan naskahnya? Atau dia justru semakin terjerat masa lalunya?",2025,272,"4,08",Emotional,Reflective,Hopeful,covers/musim_yang_tak_sempat_kita_miliki.jpg
4,3726 MDPL,Romance,Nurwina Sari,"Selain disibukkan dengan skripsi, Rangga, Ketua Panitia OSPEK Fakultas Kehutanan 2023 itu juga menyibukkan dirinya dengan mengagumi Andini. Seorang mahasiswi yang bercita-cita bisa mendaki Gunung Rinjani, sekaligus adik tingkat yang ia sebut sebagai manusia favorit. Andini dikelilingi oleh banyak cinta, banyak manusia yang ingin dengannya, terutama Rangga dengan seluruh kesan istimewanya. Namun, dalam dirinya, ada manusia dulu yang entah masih jadi pemenang atau definisi lain dari itu.",2024,280,"4,03", Emotional,Reflective,Hopeful,covers/3726_mdpl.jpg
5,Metropop: The Architecture Of Love,Romance,Ika Natassa,"New York, the city that never sleeps. Seperti istilahnya itu, New York juga menjadi kota dimana orang-orang mencoba untuk tidak henti-hentinya berjuang.
Mereka berjuang mencari jawaban akan kepastian
Mereka berjuang membalikkan nasib hidup jadi lebih baik
Mereka berjuang menggapai mimpi agar tak hanya jadi angan saja dan
Mereka juga berjuang menemukan inspirasi tuk terus berkarya.

Raia adalah salah satu dari mereka yang mempertaruhkan masa depannya di New York. Kota Big Apple itu bak labuan hatinya untuk keluar dari kebuntuan inspirasi setelah bercerai. Raia sudah sekian bulan belum memenuhi laptop dengan draft-draft berisi tulisannya. Sampai dia memutuskan untuk terbang ke New York. Berharap mendapatkan inspirasi sepadan untuk membuat karya baru. Dua bulan di New York sudah berlalu. Raia masih saja tetap terjerat dalam situasi terberat para penulis sepertinya, yaitu writer’s block.

Hingga dirinya bertemu dengan River. Seorang pria yang terbilang pendiam, tidak banyak omong. Selalu saja berkutat dengan buku gambarnya. Keduanya memutuskan untuk berkeliling kota New York bersama. Raia mencari inspirasi untuk tulisannya, River mencari inspirasi untuk gambarnya. Kegiatan itu pun jadi sebuah pola kehidupan sehari-hari mereka berdua. Dari situ Raia belajar untuk melihat kota tersebut dari sisi yang berbeda. Setiap tempat, dari isi bangunan sampai bangunan luarnya pun punya cerita. Baik itu cerita menyenangkan, maupun memilukan

Begitu pula dengan manusia. “Every person has at least one secret that will break your heart”. Mereka juga punya kisahnya sendiri. Mereka punya masa lalu masing-masing. Raia terkekang oleh perceraiannya. Pun dengan River. Apa yang dulu pernah terjadi pada masa lalu River? Dapatkah Raia dan River keluar dari bayang-bayang masa lalunya? ",2016,304,"4,05",Reflective,Emotional,Hopeful,covers/the_architecture_of_love.jpg
6,Bandung Menjelang Pagi,Romance,Brian Kharisna,"Bandung Menjelang Pagi menceritakan tentang sepasang manusia yang bertemu, memadu kasih, dan dipaksa untuk berpisah di Kota Bandung. Isinya sarat dengan kehidupan yang dijalani kelompok masyarakat yang kerap terlewatkan oleh penglihatan mata. Cerita yang penuh harap akan hidup yang Bahagia, tapi terpaksa menerima realitas, bahwa manusia boleh berencana, tapi tetap Tuhan yang menentukan takdir tiap hamba-Nya.",2024,304,"3,97",Sad,Reflective,Hopeful,covers/bandung_menjelang_pagi.jpg
7,Sarang De Chocolate: Toko Cokelat Misterius,Romance,Kim Ye-eun,"Sarang de Chocolate yang berlokasi di jalan kecil di tengah kota Seoul adalah toko cokelat yang istimewa. Han Ju-ho, pemilik toko ini, tidak hanya menjual cokelat buatannya sendiri, tetapi juga menawarkan layanan konsultasi cinta. Ia mendengarkan kisah cinta sepihak atau cinta pertama para tamunya, lalu ia akan dengan tulus memberikan saran serta cokelat yang sesuai dengan kisah masing-masing tamu. Sementara Ju-ho berusaha mencari arti cinta yang sebenarnya melalui kisah jujur dari para tamu dengan kepribadian yang berbeda-beda, cinta pertamanya sendiri mendadak muncul kembali di hadapannya. Lalu, pria itu mulai bercerita tentang perpisahannya dan bagaimana ia masih tidak mampu melupakan mantan kekasihnya. Apakah para tamu Sarang de Chocolate, yang mengalami cinta sepihak yang pahit dan menyiksa, akan berhasil mewujudkan cinta mereka setelah mencicipi cokelat buatan Ju-ho? Dan apakah Ju-ho akan berhasil menyatakan cinta kepada pria yang masih memenuhi hatinya selama ini?",2025,232,"3,09","Heartwarming
",Hopeful,Emotional,covers/toko_cokelat_misterius.jpg
8,Metropop: Penaka,Romance,Altami N.D.,"Pernikahannya memang baru berumur dua tahun, tapi Sofia sudah mau menyerah saja. Suaminya tidak hanya kecanduan game online, tapi juga super berantakan. Laksana bahkan beberapa kali membahayakan anak mereka tanpa sadar. Ngawur! Karena tidak mau terjebak lebih lama, Sofia minta cerai. Ia bertekad mewujudkan impiannya agar tidak lagi merasa ketinggalan dari orang-orang di sekelilingnya. Namun, sehari setelah berikrar siap menjadi single parent, Sofia terbangun dan menyadari dirinya berubah menjadi... botol minum! Sofia panik. Situasi yang menyebabkan ia tiba-tiba berubah menjadi kucing, anjing, atau orang asing ini membingungkan. Apalagi ketika ia menemukan rahasia-rahasia tak terduga dari orang-orang terdekatnya. Lalu, bagaimana dengan rencana-rencana hidupnya? Bagaimana nasib anak semata wayangnya yang masih balita? Sofia harus segera menemukan cara untuk bisa kembali ke wujud asalnya.",2022,216,"4,29",Suspenseful,Happy/Funny,Reflective,covers/penaka.jpg
9,Brida,Romance,Paulo Coelho,"Semua orang memiliki “Takdir” yang harus dijalani. “Tapi bagaimana caraku mengetahui siapa Pasangan Jiwa-ku?” tanya Brida. “Dengan mengambil risiko kegagalan, kekecewaan, kehilangan arah, tapi tak pernah berhenti dalam pencarianmu menuju Cinta.” Brida, dua puluh tahun, melemparkan pertanyaan yang paling penting ke dalam hidup kita, “Apa yang kau cari dalam kehidupan ini?” Perjalanan yang mengisi jiwa untuk menemukan diri, dipenuhi cahaya yang mengagumkan!",2018,232,"3,51",Reflective,Inspiring,Hopeful,covers/brida.jpg
10,Bandung After Rain,Romance,Wulan Nur Amalia,"Bandung, romansa, dan Ra. Hampir di setiap sudut di Kota Bandung menggambarkan kenangan manis yang Hema lakukan bersama Ra—mantan kekasihnya. 6 tahun lebih memadu kasih, tidak lantas membuat hubungan Hema dan Ra berakhir indah. Nyatanya, hubungan mereka usai tepat sebulan sebelum hari jadi mereka yang ke-7. Kesalahan fatal yang Hema lakukan, membuat hatinya dipenuhi rasa penyesalan. Namun, Hema jadi sadar bahwa makna cinta bukan hanya tentang memberi apa yang diinginkan oleh pasangan, tapi juga tentang memahami, menghargai, dan berjuang bersama. Kalau kata Rania, “Bandung adalah kita. Dan, setelah hujan, ada cerita tentang kita.” Melewati hari-hari dengan seluruh perasaan gelisah, berjalan-jalan dibawah derasnya hujan di Kota Bandung, apakah hal itu cukup untuk mengembalikan Ra kedalam kehidupannya?",2024,284,"3,81",Sad,Reflective,Hopeful,covers/bandung_after_rain.jpg
